"shop_name","shop_address","shop_type","shop_phone","shop_openHours","shop_details","shop_link"
"Lakeshore Valu-Mart","2399 Lake Shore Blvd W, Etobicoke, ON M8V 1C5","Grocery Stores","416-503-3491","Open until  9:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Lakeshore-Valu-Mart/101401478.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Baraka Supermarket","9B-60 Danforth Rd, Scarborough, ON M1L 3W4","Grocery Stores","416-792-6060","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Baraka-Supermarket/7210503.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Prince Vape","3502 Danforth Ave, Scarborough, ON M1L 1E1","Grocery Stores","416-698-0378","Open until  11:00 pm","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Prince-Vape/2477195.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","238 Wellesley St E, Toronto, ON M4X 1G2","Grocery Stores","416-925-5052","Open until  9:30 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Food-Basics/5371408.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","1000 Gerrard St E, Toronto, ON M4M 1Z4","Grocery Stores","416-465-3319","Open until  10:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Food-Basics/5371404.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","1070 Pape Ave, Toronto, ON M4K 3W5","Grocery Stores","416-467-8519","Open until  10:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Food-Basics/5371405.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","2-45 Overlea Blvd, Toronto, ON M4H 1C3","Grocery Stores","416-421-1732","Open until  10:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Food-Basics/5364613.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","1277 York Mills Rd, North York, ON M3A 1Z5","Grocery Stores","416-444-7921","Open until  10:00 pm","","https://www.yellowpages.ca/bus/Ontario/North-York/Food-Basics/5371402.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","853 Jane St, Toronto, ON M6N 4C4","Grocery Stores","416-762-7975","Open until  10:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Food-Basics/100419019.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","240 Wellesley St E, Toronto, ON M4X 1G5","Grocery Stores","416-925-5052","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Food-Basics/101571342.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","1070 Pape & Gamble, ON","Grocery Stores","416-467-8519","","","https://www.yellowpages.ca/bus/Ontario/Food-Basics/101665876.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Food Basics","2000 Jane St, North York, ON M9N 2V2","Grocery Stores","416-241-5732","","","https://www.yellowpages.ca/bus/Ontario/North-York/Food-Basics/101571466.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Sobeys","Offic, 22 Fort York Blvd, Toronto, ON M5V 3Z2","Grocery Stores","416-623-5111","Open until  11:00 pm","Sobeys: modern food stores offering full-service meat and seafood departments,farm-fresh produce,in-store bakeries,prepared foods and florists
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Sobeys/6523034.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Carribean Island Food","3432 Weston Rd, North York, ON M9M 2W1","Grocery Stores","416-746-1592","Open until  9:00 pm","Located just south of Finch on Weston Road, Carribean Island Food Market is one of Toronto's favourite destinations for quality goat meat, fresh Caribbean food, smoked fish and oth...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/North-York/Carribean-Island-Food/4370523.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"IGA","","Grocery Stores","416-694-3011","","","https://www.yellowpages.ca/bus/Ontario/IGA/5846794.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Rabba Fine Foods","2125 Lake Shore Blvd W, Etobicoke, ON M8V 0B3","Grocery Stores, Food Products
More…","416-251-0181","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Rabba-Fine-Foods/100728713.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"L Kraft General Food Ltd","2150 Lake Shore Blvd W, Etobicoke, ON M8V 1A3","Grocery Stores","416-503-0016","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/L-Kraft-General-Food-Ltd/7146309.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Sobeys Sobeys Supermarkets","125 The Queensway, Etobicoke, ON M8Y 1H6","Grocery Stores","416-259-1758","Open until  12:00 pm","Sobeys: modern food stores offering full-service meat and seafood departments,farm-fresh produce,in-store bakeries,prepared foods and florists
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Sobeys-Sobeys-Supermarkets/8062544.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Chowk Bazaar","3100 Danforth Ave, Scarborough, ON M1L 1B1","Grocery Stores","647-352-5009","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Chowk-Bazaar/101230409.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"FreshCo","2490 Gerrard St E, Scarborough, ON M1N 1W7","Grocery Stores","416-698-3353","Open until  10:00 pm","Launched in 2010, FreshCo.’s commitment is to provide the best discount grocery shopping experience by offering quality fresh food at low prices and with less compromise.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Scarborough/FreshCo/100406465.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Metro Ontario Inc","2208 Lake Shore Blvd W, Toronto, ON M8V 1A4","Grocery Stores","416-259-9277","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Metro-Ontario-Inc/100927266.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Metro Humber Bay Park","2208 Lake Shore Blvd W, Toronto, ON M8V 1A4","Grocery Stores, Caterers
More…","416-201-0441","Open until  11:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Metro-Humber-Bay-Park/100866197.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Fallingbrook Market & Cafe","158 Fallingbrook Rd, Toronto, ON M1N 1N3","Grocery Stores","416-690-6655","Open until  7:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Fallingbrook-Market-Cafe/6267293.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Berry Road Food Co-Op","150 Berry Rd, Etobicoke, ON M8Y 1W3","Grocery Stores","647-479-9584","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Berry-Road-Food-Co-Op/101867460.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Spice Urban Towns","3194 Danforth Ave, Scarborough, ON M1L 1B7","Grocery Stores","416-932-3443","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Spice-Urban-Towns/100557345.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Canada Herb","144 Park Lawn Rd, Etobicoke, ON M8Y 3H8","Grocery Stores","416-588-4549","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Canada-Herb/7118497.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Rabba Fine Foods","2275 Lake Shore Blvd W, Etobicoke, ON M8V 3Y3","Grocery Stores","416-201-0179","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Rabba-Fine-Foods/7123682.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Sunnyview Grocery & Variety","237 Park Lawn Rd, Etobicoke, ON M8Y 3J3","Grocery Stores, Florists & Flower Shops","416-255-0116","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Sunnyview-Grocery-Variety/100922136.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"7 Star Convenience & Grocery","3304 Danforth Ave, Scarborough, ON M1L 1C4","Grocery Stores","416-946-3430","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/7-Star-Convenience-Grocery/102120746.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Lakeshore Mini Mart","2316 Lake Shore Blvd W, Etobicoke, ON M8V 1B5","Grocery Stores, Convenience Stores","416-251-5889","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Lakeshore-Mini-Mart/7129695.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Lakeshore Valu-Mart","2399 Lake Shore Blvd W, Etobicoke, ON M8V 1C5","Grocery Stores","416-503-3491","Open until  9:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Lakeshore-Valu-Mart/101401478.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Baraka Supermarket","9B-60 Danforth Rd, Scarborough, ON M1L 3W4","Grocery Stores","416-792-6060","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Baraka-Supermarket/7210503.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Prince Vape","3502 Danforth Ave, Scarborough, ON M1L 1E1","Grocery Stores","416-698-0378","Open until  11:00 pm","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Prince-Vape/2477195.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Longo Properties Ltd","2521 Lake Shore Blvd W, Etobicoke, ON M8V 1E5","Grocery Stores","416-259-8502","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Longo-Properties-Ltd/7163200.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Speshul Treats","50 Burnhill Rd, Scarborough, ON M1L 4R3","Grocery Stores","416-560-4285","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Speshul-Treats/102104310.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Gluten Free Delivery","71 Station Rd, Etobicoke, ON M8V 2R2","Grocery Stores","905-449-1577","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Gluten-Free-Delivery/102399156.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Union Jacks","2893 Bloor St W, Etobicoke, ON M8X 1B3","Grocery Stores","416-233-8110","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Union-Jacks/100881089.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Becker Milk Co Ltd, Head Ofc","671 Warden Ave, Scarborough, ON M1L 0G3","Grocery Stores","416-437-7093","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Becker-Milk-Co-Ltd-Head-Ofc/102112753.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Hasty Market","1-300 Simcoe St, Toronto, ON M5T 1T5","Grocery Stores","647-748-1668","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Hasty-Market/7518373.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Hasty Market","125 Dundas St E, Toronto, ON M5B 2N6","Grocery Stores, Art Restorations
More…","416-203-2378","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Hasty-Market/756501.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Hasty Market","753 King St W, Toronto, ON M5V 1N4","Grocery Stores","416-703-0880","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Hasty-Market/756598.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Hasty Market","1221 King St W, Toronto, ON M6K 1G3","Grocery Stores, Art Restorations
More…","416-537-3030","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Hasty-Market/756496.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Valu-Mart","1500 Bayview Ave, Toronto, ON M4G 3B4","Grocery Stores","416-486-8294","Open until  9:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Valu-Mart/4135684.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaw Pharmacy","200 Front St E, Toronto, ON M5A 4T9","Grocery Stores, Pharmacies","416-363-6412","Open until  8:00 pm","Our pharmacy team is committed to providing personalized care & quality service. Our team is always available & strives to provide you with the highest level of service.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaw-Pharmacy/100381701.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Healthy Planet","95 Laird Dr, East York, ON M4G 3T7","Grocery Stores","416-422-0505","","","https://www.yellowpages.ca/bus/Ontario/East-York/Healthy-Planet/101457625.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Longo's","808 York Mills Rd, Toronto, ON M3B 1X7","Grocery Stores, Grocery Wholesalers","416-385-3113","Open until  10:00 pm","Longo's strongly believes that family values are essential to community growth. Since our company's beginnings in 1956, the Longo's team continues to participate in many initiative...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Longo-s/2381584.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Rabba Fine Foods","252 Queens Quay W, Toronto, ON M5J 1B5","Grocery Stores","416-260-8869","","Decorate your table with a delicious platter from Rabba. Whether it's a family gathering, a luncheon, a business meeting, a birthday party or a holiday get-together, you will find ...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Rabba-Fine-Foods/2487181.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Longo's","93 Laird Dr, Toronto, ON M4G 3V1","Grocery Stores, Grocery Wholesalers","416-421-6806","Open until  10:00 pm","Longo's Giving is focused on programs that target the good health of families and the benefits of fresh, healthy eating. At each level, we are committed to Inspiring Healthy Famili...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Longo-s/8073083.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Carribean Island Food","3432 Weston Rd, North York, ON M9M 2W1","Grocery Stores","416-746-1592","Open until  9:00 pm","Located just south of Finch on Weston Road, Carribean Island Food Market is one of Toronto's favourite destinations for quality goat meat, fresh Caribbean food, smoked fish and oth...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/North-York/Carribean-Island-Food/4370523.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"IGA","","Grocery Stores","416-694-3011","","","https://www.yellowpages.ca/bus/Ontario/IGA/5846794.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Rabba Fine Foods","2125 Lake Shore Blvd W, Etobicoke, ON M8V 0B3","Grocery Stores, Food Products
More…","416-251-0181","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Rabba-Fine-Foods/100728713.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"L Kraft General Food Ltd","2150 Lake Shore Blvd W, Etobicoke, ON M8V 1A3","Grocery Stores","416-503-0016","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/L-Kraft-General-Food-Ltd/7146309.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Sobeys Sobeys Supermarkets","125 The Queensway, Etobicoke, ON M8Y 1H6","Grocery Stores","416-259-1758","Open until  12:00 pm","Sobeys: modern food stores offering full-service meat and seafood departments,farm-fresh produce,in-store bakeries,prepared foods and florists
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Sobeys-Sobeys-Supermarkets/8062544.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Chowk Bazaar","3100 Danforth Ave, Scarborough, ON M1L 1B1","Grocery Stores","647-352-5009","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Chowk-Bazaar/101230409.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"FreshCo","2490 Gerrard St E, Scarborough, ON M1N 1W7","Grocery Stores","416-698-3353","Open until  10:00 pm","Launched in 2010, FreshCo.’s commitment is to provide the best discount grocery shopping experience by offering quality fresh food at low prices and with less compromise.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Scarborough/FreshCo/100406465.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Metro Ontario Inc","2208 Lake Shore Blvd W, Toronto, ON M8V 1A4","Grocery Stores","416-259-9277","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Metro-Ontario-Inc/100927266.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Metro Humber Bay Park","2208 Lake Shore Blvd W, Toronto, ON M8V 1A4","Grocery Stores, Caterers
More…","416-201-0441","Open until  11:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Metro-Humber-Bay-Park/100866197.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Fallingbrook Market & Cafe","158 Fallingbrook Rd, Toronto, ON M1N 1N3","Grocery Stores","416-690-6655","Open until  7:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Fallingbrook-Market-Cafe/6267293.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Berry Road Food Co-Op","150 Berry Rd, Etobicoke, ON M8Y 1W3","Grocery Stores","647-479-9584","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Berry-Road-Food-Co-Op/101867460.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Spice Urban Towns","3194 Danforth Ave, Scarborough, ON M1L 1B7","Grocery Stores","416-932-3443","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Spice-Urban-Towns/100557345.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
